System,mace_mpa_0_D3
01_cyclohexanedione,142.51215839344104
02_acetic_acid,72.3653182233797
03_adamantane,0.5318570168897239
04_ammonia,58.90829136456917
05_anthracene,134.90853749295448
06_benzene,97.74371339433094
07_co2,29.60280229667829
08_cyanamide,75.23253554940605
09_cytosine,89.28918822177414
10_ethylcarbamate,87.7122074223481
11_formamide,47.20259772000239
12_imidazole,92.03299677294495
13_naphthalene,109.79192453856892
14_oxalic_acid_alpha,25.334345189977768
15_oxalic_acid_beta,23.927859851318743
16_pyrazine,108.73960734833985
17_pyrazole,94.06020188326164
18_triazine,125.56842272798451
19_trioxane,75.96042310490674
20_uracil,98.02053412554915
21_urea,56.93562738430413
22_hexamine,68.55378470069428
23_succinic_acid,96.6373422942846
