System,mace_mp_0b3_D3
01_cyclohexanedione,31.595463350070858
02_acetic_acid,57.89756333505416
03_adamantane,5.70751993789667
04_ammonia,14.233221410716382
05_anthracene,102.62958412556537
06_benzene,47.515854573852096
07_co2,42.271648867509214
08_cyanamide,74.22773036893743
09_cytosine,39.08051769945925
10_ethylcarbamate,43.43885396914655
11_formamide,37.67754034349039
12_imidazole,25.35691808808575
13_naphthalene,74.43380470378183
14_oxalic_acid_alpha,37.59629636830948
15_oxalic_acid_beta,40.5564832242778
16_pyrazine,98.91978054062919
17_pyrazole,2.9279263614341886
18_triazine,108.70956924052905
19_trioxane,1.1952417595289049
20_uracil,55.4601589365256
21_urea,31.25452246916595
22_hexamine,10.591162298633023
23_succinic_acid,91.31664126502142
