System,mace_matpes_PBE_0_D3
01_cyclohexanedione,21.251471738916322
02_acetic_acid,33.48407435829699
03_adamantane,137.80611181236307
04_ammonia,9.864336085011487
05_anthracene,52.515528963914534
06_benzene,16.458312841346
07_co2,8.302925693299443
08_cyanamide,50.1291160373449
09_cytosine,32.54816413233928
10_ethylcarbamate,21.301452004770695
11_formamide,21.680502321376522
12_imidazole,35.47343931965503
13_naphthalene,34.4747379103598
14_oxalic_acid_alpha,6.4241748917590655
15_oxalic_acid_beta,0.8051219061423183
16_pyrazine,45.99848926284437
17_pyrazole,30.98155579629676
18_triazine,55.87869200902566
19_trioxane,1.759355978303084
20_uracil,40.07521013706133
21_urea,50.207824671833606
22_hexamine,76.01622181150334
23_succinic_acid,43.6976381022923
