System,mace_mpa_0_D3
01_cyclohexanedione,142.51213717174943
02_acetic_acid,72.36530915903423
03_adamantane,0.5318509385333741
04_ammonia,58.90847232794892
05_anthracene,134.9114706755231
06_benzene,97.74220558102456
07_co2,29.60261927981889
08_cyanamide,75.2323524868872
09_cytosine,89.28993189875823
10_ethylcarbamate,87.71291863030665
11_formamide,47.20295961910543
12_imidazole,92.03301768630962
13_naphthalene,109.79268564737178
14_oxalic_acid_alpha,25.3343411917686
15_oxalic_acid_beta,23.928581745457336
16_pyrazine,108.73965239627363
17_pyrazole,94.05911995979406
18_triazine,125.56872192464766
19_trioxane,75.95992785878607
20_uracil,98.01906425758423
21_urea,56.934875518375264
22_hexamine,68.55227731516945
23_succinic_acid,96.63512275900749
