System,mace_matpes_PBE_0_D3
01_cyclohexanedione,21.251475303212885
02_acetic_acid,33.484071384030386
03_adamantane,137.80758434996898
04_ammonia,9.86433674358684
05_anthracene,52.51111296108545
06_benzene,16.4590460784325
07_co2,8.302925097620765
08_cyanamide,50.129115718561664
09_cytosine,32.54963548695656
10_ethylcarbamate,21.30071564467076
11_formamide,21.680501414985443
12_imidazole,35.47381585698119
13_naphthalene,34.47472484248036
14_oxalic_acid_alpha,6.42307068361562
15_oxalic_acid_beta,0.8051179081463715
16_pyrazine,45.99775138125291
17_pyrazole,30.981907710801764
18_triazine,55.879064175464926
19_trioxane,1.7573928654237179
20_uracil,40.07446814200932
21_urea,50.206724524784335
22_hexamine,76.01621875769928
23_succinic_acid,43.69763659584348
